wbs_code,description,tp_pos,package,building,nta_ref,status,budget_eur,target_kw,qty_total,qty_done,qty_remaining,manpower_per_day,duration_days,total_mandays,scope,responsible,payment_ref,source,level,parent_wbs,is_leaf,baseline_start,baseline_finish,baseline_working_days,baseline_total_md
1.4.3.4.2,Approval SOB/URW,2.9.2,E2NS,,,,,KW17,,,,,,,,SOB,,TP,5,1.4.3.4,True,,,,
1.4.3.4.3,Procurement+Mfg,2.9.3,E2NS,,,,,KW17,2,,2,,,,,MYA,,TP,5,1.4.3.4,True,,,,
1.4.3.4.4,Installation,2.9.4,E2NS,,,,,KW17,2,,2,2,5,12,,MYA,,TP,5,1.4.3.4,True,2026-02-16,2026-02-21,6,12
1.4.4,FT16 Steel NTA061,,E2NS,,NTA061,,215036,KW19,,,,,,,,,05.14,Pmt,3,1.4,False,,,,
1.5,Final Milestone E2NS,,E2NS,E2NS,,,73603.72,KW23,,,,,,,,,Final,Pmt,2,1,False,,,,
2,D1D2 Contract Works,,D1D2,D1+D2,,,,,,,,,,,,,,,1,,False,,,,
2.1,D1D2 Remaining Works,,D1D2,,,,,,,,,,,,,,,,2,2,False,,,,
2.1.1,Int Defects D2,,D1D2,,,,95000,KW09,,,,,,,,,01.11,Pmt,3,2.1,False,,,,
2.1.2,Int Defects D1,,D1D2,,,,95000,KW11,,,,,,,,,01.12,Pmt,3,2.1,False,,,,
2.1.3,Ext Defects,,D1D2,,,,84550,KW17,,,,,,,,,01.13,Pmt,3,2.1,False,,,,
2.1.4,Glass Replace,,D1D2,,,,79325,KW17,,,,,,,,,01.14,Pmt,3,2.1,False,,,,
2.1.5,Staircases Material,,D1D2,,NTA040,,85500,KW09,,,,,,,,,01.15,Pmt,3,2.1,False,,,,
2.1.6,Staircases Complete,,D1D2,,NTA040,,47500,KW13,,,,,,,,,01.16,Pmt,3,2.1,False,,,,
2.1.7,Doors Defects,,D1D2,,,,65075,KW21,,,,,,,,,01.17,Pmt,3,2.1,False,,,,
2.1.8,Bird Deter D2,,D1D2,,,,101149.83,KW13,,,,,,,,,01.18,Pmt,3,2.1,False,,,,
2.1.9,Bird Deter D1,,D1D2,,,,101149.83,KW07,,,,,,,,,01.19,Pmt,3,2.1,False,,,,
2.1.10,Final Cleaning,,D1D2,,,,47500,KW17,,,,,,,,,01.20,Pmt,3,2.1,False,,,,
2.2,D1D2 NTAs,,D1D2,,,,,,,,,,,,,,,,2,2,False,,,,
2.2.1,Staircase Revision,,D1D2,,NTA040,,144952,KW05,,,,,,,,,02.11,Pmt,3,2.2,False,,,,
2.2.2,4.OG Vent MOS,,D1D2,,NTA041,,25420,KW07,,,,,,,,,02.12,Pmt,3,2.2,False,,,,
2.2.3,4.OG Vent Install,,D1D2,,NTA041,,,KW11,,,,,,,,,02.13,Pmt,3,2.2,False,,,,
2.2.4,Justif NTA042-046,,D1D2,,,,52622,KW05,,,,,,,,,02.14,Pmt,3,2.2,False,,,,
2.2.5,Logo Anchorage,,D1D2,,DNTA046,,7955,KW07,,,,,,,,,02.15,Pmt,3,2.2,False,,,,
2.3,Final Milestone D1D2,,D1D2,,,,46410.7,KW23,,,,,,,,,Final,Pmt,2,2,False,,,,
