wbs_code,description,tp_pos,package,building,nta_ref,status,budget_eur,target_kw,qty_total,qty_done,qty_remaining,manpower_per_day,duration_days,total_mandays,scope,responsible,payment_ref,source,level,parent_wbs,is_leaf,baseline_start,baseline_finish,baseline_working_days,baseline_total_md
1.2.3.1.4,Cocoon-Coord,3.1.4,E2NS,,,,,KW13,1,,1,2,12,24,,MYA,,TP,5,1.2.3.1,True,,,,
1.2.3.2,WT-04 Inside,,E2NS,,,,,KW13,,,,,,,INT,,,,4,1.2.3,False,,,,
1.2.3.2.1,Handle Install,4.2.1,E2NS,,,,,KW13,214,,214,2,24,48,,MYA,,TP,5,1.2.3.2,True,2026-03-30,2026-04-11,12,48
1.2.3.2.2,Silicone/Gasket,4.2.2,E2NS,,,,,KW13,90,,90,2,12,24,,MYA,,TP,5,1.2.3.2,True,2026-04-09,2026-04-15,6,24
1.2.3.2.3,Membrane Touchup,4.2.3,E2NS,,,,,KW13,90,,90,2,12,24,,MYA,,TP,5,1.2.3.2,True,2026-04-16,2026-04-22,6,24
1.2.4,Lochfenster WT01.5/6/7,,E2NS,E2S,,,33140.47,KW15,,,,,,,,,04.14,Pmt,3,1.2,False,,,,
1.2.4.1,WT01.5 Outside,,E2NS,,,,,KW15,,,,,,,EXT,,,,4,1.2.4,False,,,,
1.2.4.1.1,Mängel EXT (W),2.2.1,E2NS,,,,,KW15,45,45,,,,,,,,TP,5,1.2.4.1,True,,,,
1.2.4.1.2,Mängel IH (W),3.2.1,E2NS,,,,,KW15,33,33,,,,,,,,TP,5,1.2.4.1,True,,,,
1.2.4.1.3,Schüco adaptör IH,3.2.2,E2NS,,,,,KW15,18,,18,2,6,12,,MYA,,TP,5,1.2.4.1,True,2026-03-16,2026-03-21,6,12
1.2.4.2,WT01.5 Inside,,E2NS,,,,,KW15,,,,,,,INT,,,,4,1.2.4,False,,,,
1.2.4.2.1,Handle Install,4.3.1,E2NS,,,,,KW15,96,,96,2,12,24,,MYA,,TP,5,1.2.4.2,True,2026-04-13,2026-04-25,12,24
1.2.4.2.2,Silicone/Gasket,4.3.2,E2NS,,,,,KW15,78,,78,2,12,24,,MYA,,TP,5,1.2.4.2,True,2026-04-13,2026-04-25,12,24
1.2.4.2.3,Membrane Touchup,4.3.3,E2NS,,,,,KW15,78,,78,2,12,24,,MYA,,TP,5,1.2.4.2,True,2026-04-13,2026-04-25,12,24
1.2.4.3,WT01.6 Inside,,E2NS,,,,,KW15,,,,,,,INT,,,,4,1.2.4,False,,,,
1.2.4.3.1,Membrane Ctrl+Rect,4.8.1,E2NS,,,,,KW15,2,,2,2,4,8,,MYA,,TP,5,1.2.4.3,True,2026-04-06,2026-04-09,4,8
1.2.4.4,WT01.7,,E2NS,E2S,,,,KW15,,,,,,,,,,,4,1.2.4,False,,,,
1.2.5,FT15 E2S (E/S/W),,E2NS,E2S,,,,KW09,,,,,,,,,,,3,1.2,False,,,,
1.2.6,Lochfenster E2S,,E2NS,E2S,,,,KW21,,,,,,,,,,,3,1.2,False,,,,
1.2.7,Türen E2S,,E2NS,E2S,,,22620.58,KW21,14,,14,,,,,,04.15,Pmt,3,1.2,False,,,,
1.2.7.1,Dorma sliding door,2.7.0,E2NS,,,,,KW21,1,,1,2,3,6,,MYA,,TP,4,1.2.7,True,,,,
1.2.7.2,Terminal Doors,2.13.1,E2NS,,,,,KW21,12,,12,4,12,48,,MYA,,TP,4,1.2.7,True,,,,
1.2.7.3,Hotel Doors,2.13.2,E2NS,,,,,KW21,1,,1,,,,,,,TP,4,1.2.7,True,,,,
1.2.8,FT18 E2S,,E2NS,E2S,,,20452.57,KW19,412,143,269,,,,,,04.16,Pmt,3,1.2,False,,,,
1.2.8.1,Module Install,2.12.1,E2NS,,,,,KW19,146,143,3,4,3,12,,MYA,,TP,4,1.2.8,True,2026-03-26,2026-03-28,3,12
1.2.8.2,Paint+bolt,2.12.2,E2NS,,,,,KW19,1,,1,10,48,480,,MYA,,TP,4,1.2.8,True,2026-02-02,2026-03-28,48,480
1.2.8.3,Trapezoidal sheet,2.12.3,E2NS,,,,,KW19,265,,265,4,24,96,,MYA,,TP,4,1.2.8,True,2026-03-16,2026-03-28,12,96
1.2.9,Canopy E2S Pullman,,E2NS,E2S,,,30526.51,KW19,288,,288,,,,,,04.17,Pmt,3,1.2,False,,,,
1.2.9.1,Steel install,2.6.1,E2NS,,,,,KW19,40,,40,5,12,60,,MYA,,TP,4,1.2.9,True,2026-02-16,2026-02-28,12,60
1.2.9.2,Al Substructure,2.6.2,E2NS,,,,,KW19,105,,105,4,12,48,,MYA,,TP,4,1.2.9,True,2026-03-02,2026-03-14,12,48
1.2.9.3,Al Cladding,2.6.3,E2NS,,,,,KW19,143,,143,4,6,24,,MYA,,TP,4,1.2.9,True,2026-03-09,2026-03-14,6,24
1.2.10,FT16 Alu Cladding,,E2NS,E2S,,,57000,KW17,382,,382,,,,,,04.18,Pmt,3,1.2,False,,,,
1.2.10.1,Secondary Steel,3.5.1,E2NS,,,,,KW17,1,,1,,,,,MYA,,TP,4,1.2.10,True,,,,
1.2.10.2,Design+Static,3.5.2,E2NS,,,,,KW17,1,,1,,,,,MYA,,TP,4,1.2.10,True,,,,
1.2.10.3,Procurement+Mfg,3.5.3,E2NS,,,,,KW17,1,,1,,,,,MYA,,TP,4,1.2.10,True,,,,
1.2.10.4,Installation,3.5.4,E2NS,,,,,KW17,1,,1,4,12,48,,MYA,,TP,4,1.2.10,True,2026-03-30,2026-04-11,12,48
1.2.10.5,Brackets,3.5.5,E2NS,,,,,KW17,162,,162,4,12,48,,MYA,,TP,4,1.2.10,True,2026-03-30,2026-04-11,12,48
1.2.10.6,Al Profiles,3.5.6,E2NS,,,,,KW17,95,,95,4,6,24,,MYA,,TP,4,1.2.10,True,2026-04-06,2026-04-11,6,24
1.2.10.7,Al Cladding,3.5.7,E2NS,,,,,KW17,121,,121,4,12,48,,MYA,,TP,4,1.2.10,True,2026-04-13,2026-04-25,12,48
1.2.11,FT17 Al Soffit,,E2NS,E2S,,,70643.57,KW21,3411,,3411,,,,,,04.19,Pmt,3,1.2,False,,,,
1.2.11.1,MEP Completion,3.6.1,E2NS,,,,,KW21,,,,,,,,URW,,TP,4,1.2.11,True,,,,
1.2.11.2,Brackets,3.6.2,E2NS,,,,,KW21,1673,,1673,4,30,120,,MYA,,TP,4,1.2.11,True,2026-04-27,2026-05-16,18,120
1.2.11.3,Al Profiles,3.6.3,E2NS,,,,,KW21,1245,,1245,4,12,48,,MYA,,TP,4,1.2.11,True,2026-05-04,2026-05-16,12,48
1.2.11.4,Al Cladding,3.6.4,E2NS,,,,,KW21,493,,493,4,36,144,,MYA,,TP,4,1.2.11,True,2026-05-11,2026-05-30,18,144
1.2.12,Stabgeländer E2S RT01,,E2NS,E2S,,,21663.4,KW21,573,,573,,,,,,02.17,Pmt,3,1.2,False,,,,
1.2.12.1,Brackets NTA,3.4.1,E2NS,,,,,KW21,173,,173,3,18,54,,MYA,,TP,4,1.2.12,True,2026-01-26,2026-02-07,12,54
1.2.12.2,Roofing,3.4.2,E2NS,,,,,KW21,,,,,,,,HOE,,TP,4,1.2.12,True,,,,
1.2.12.3,Steel Constr,3.4.3,E2NS,,,,,KW21,173,,173,2,6,12,,MYA,,TP,4,1.2.12,True,2026-03-30,2026-04-04,6,12
1.2.12.4,Al Module,3.4.4,E2NS,,,,,KW21,62,,62,2,6,12,,MYA,,TP,4,1.2.12,True,2026-03-30,2026-04-04,6,12
1.2.12.5,Attika Install,3.4.5,E2NS,,,,,KW21,62,,62,2,12,24,,MYA,,TP,4,1.2.12,True,2026-04-02,2026-04-08,6,24
